Suburb,Address,Rooms,Type,Price,Date,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname
Altona,11 Keeshan Ct,3,h,683500.0,7/11/2016,3018.0,3.0,1.0,1.0,530.0,,,Hobsons Bay,-37.8594,144.817,Western Metropolitan
Altona,1/136 Queen St,2,u,580000.0,8/10/2016,3018.0,2.0,1.0,1.0,225.0,93.0,1988.0,Hobsons Bay,-37.8696,144.827,Western Metropolitan
Altona,173 Queen St,3,h,1335000.0,8/10/2016,3018.0,3.0,1.0,4.0,777.0,22.0,1953.0,Hobsons Bay,-37.8697,144.8249,Western Metropolitan
Altona,3/26 Grieve Pde,2,u,510000.0,10/09/2016,3018.0,2.0,1.0,1.0,127.0,76.0,1990.0,Hobsons Bay,-37.8686,144.8182,Western Metropolitan
Altona,261 Queen St,4,h,1070000.0,10/09/2016,3018.0,4.0,2.0,2.0,695.0,,,Hobsons Bay,-37.8733,144.8147,Western Metropolitan
Altona,4/5 Rose St,2,u,425000.0,10/09/2016,3018.0,2.0,1.0,2.0,115.0,57.0,1980.0,Hobsons Bay,-37.871,144.8185,Western Metropolitan
Altona,1/60 David St,3,u,605000.0,10/12/2016,3018.0,3.0,2.0,2.0,230.0,,,Hobsons Bay,-37.8646,144.827,Western Metropolitan
Altona,1A Merritt Ct,3,t,705000.0,11/02/2017,3018.0,3.0,2.0,2.0,197.0,152.0,,Hobsons Bay,-37.8579,144.8181,Western Metropolitan
Altona,24 Wren St,4,h,845000.0,11/02/2017,3018.0,4.0,1.0,2.0,745.0,130.0,1950.0,Hobsons Bay,-37.8658,144.8155,Western Metropolitan
Altona,164 Maidstone St,3,h,635000.0,14/05/2016,3018.0,3.0,1.0,4.0,625.0,,1960.0,Hobsons Bay,-37.8611,144.8114,Western Metropolitan
Altona,3/46 Sargood St,2,u,447000.0,15/10/2016,3018.0,2.0,1.0,1.0,137.0,77.0,1990.0,Hobsons Bay,-37.8655,144.8299,Western Metropolitan
Altona,22 Fenfield St,3,h,678000.0,16/04/2016,3018.0,3.0,1.0,2.0,606.0,87.0,1950.0,Hobsons Bay,-37.8608,144.8124,Western Metropolitan
Altona,1/28 Seves St,3,h,712000.0,17/09/2016,3018.0,3.0,1.0,2.0,363.0,,,Hobsons Bay,-37.8674,144.8375,Western Metropolitan
Altona,4 Boyd St,3,h,980000.0,19/11/2016,3018.0,3.0,1.0,2.0,724.0,,,Hobsons Bay,-37.8672,144.817,Western Metropolitan
Altona,12 Spear Ct,3,t,605100.0,22/05/2016,3018.0,3.0,2.0,0.0,265.0,,,Hobsons Bay,-37.8583,144.8172,Western Metropolitan
Altona,3/20 Mulga St,3,u,577000.0,23/04/2016,3018.0,3.0,2.0,1.0,205.0,113.0,2007.0,Hobsons Bay,-37.8684,144.815,Western Metropolitan
Altona,51 Millers Rd,4,h,1030000.0,25/02/2017,3018.0,4.0,1.0,0.0,797.0,,,Hobsons Bay,-37.8663,144.8387,Western Metropolitan
Altona,2/119 Railway St N,3,u,605000.0,25/02/2017,3018.0,3.0,1.0,2.0,181.0,,,Hobsons Bay,-37.8659,144.822,Western Metropolitan
Altona,24 McIntyre Dr,3,h,753000.0,27/06/2016,3018.0,3.0,2.0,2.0,529.0,,,Hobsons Bay,-37.8612,144.8247,Western Metropolitan
Altona,49 Bent St,3,h,1500000.0,28/05/2016,3018.0,3.0,1.0,1.0,929.0,,,Hobsons Bay,-37.8651,144.832,Western Metropolitan
Altona,15 Kookaburra St,3,h,900000.0,28/05/2016,3018.0,3.0,1.0,4.0,697.0,,,Hobsons Bay,-37.871,144.8075,Western Metropolitan
Altona,219 Civic Pde,3,h,740000.0,28/08/2016,3018.0,3.0,1.0,2.0,604.0,,,Hobsons Bay,-37.8631,144.8195,Western Metropolitan
Altona,3 Curtin Ct,4,h,931000.0,28/08/2016,3018.0,4.0,2.0,3.0,532.0,,1970.0,Hobsons Bay,-37.8637,144.8365,Western Metropolitan
Altona North,45 Hearn St,5,h,1085000.0,3/09/2016,3025.0,5.0,3.0,6.0,592.0,251.0,1965.0,Hobsons Bay,-37.8388,144.8567,Western Metropolitan
Altona North,4 Knapp St,3,h,781000.0,3/09/2016,3025.0,3.0,1.0,2.0,533.0,117.0,1970.0,Hobsons Bay,-37.8291,144.835,Western Metropolitan
Altona North,3/66 Marion St,2,t,421000.0,4/03/2017,3025.0,2.0,1.0,1.0,77.0,77.0,2009.0,Hobsons Bay,-37.8351,144.8529,Western Metropolitan
Altona North,153 Mills St,3,h,1405000.0,4/03/2017,3025.0,3.0,1.0,3.0,655.0,,,Hobsons Bay,-37.8338,144.8562,Western Metropolitan
Altona North,33 Carthy St,3,h,683000.0,4/06/2016,3025.0,3.0,1.0,2.0,534.0,167.0,1967.0,Hobsons Bay,-37.8284,144.8355,Western Metropolitan
Altona North,16 Harris St,3,h,623000.0,4/06/2016,3025.0,3.0,1.0,3.0,540.0,,,Hobsons Bay,-37.8267,144.8368,Western Metropolitan
Altona North,1/95 Mills St,3,h,588000.0,7/05/2016,3025.0,3.0,1.0,1.0,328.0,118.0,1970.0,Hobsons Bay,-37.838,144.8555,Western Metropolitan
Altona North,1/256 Mason St,2,t,640000.0,11/03/2017,3025.0,2.0,1.0,1.0,252.0,,1965.0,Hobsons Bay,-37.8397,144.8602,Western Metropolitan
Altona North,2/36 May St,3,h,675000.0,14/05/2016,3025.0,3.0,2.0,2.0,171.0,109.0,2012.0,Hobsons Bay,-37.8337,144.8554,Western Metropolitan
Altona North,11 Beevers St,3,h,708000.0,15/10/2016,3025.0,3.0,1.0,2.0,585.0,97.0,1960.0,Hobsons Bay,-37.8258,144.8523,Western Metropolitan
Altona North,16 Beevers St,3,h,680000.0,19/11/2016,3025.0,3.0,1.0,3.0,551.0,,,Hobsons Bay,-37.8254,144.8514,Western Metropolitan
Altona North,31 Duosa Rd,3,h,923000.0,22/05/2016,3025.0,3.0,1.0,2.0,740.0,,,Hobsons Bay,-37.8269,144.8455,Western Metropolitan
Altona North,2 Gadsden St,3,h,728500.0,22/08/2016,3025.0,3.0,1.0,1.0,531.0,157.0,1960.0,Hobsons Bay,-37.8277,144.8385,Western Metropolitan
Altona North,24 Hansen St,3,h,931000.0,22/08/2016,3025.0,3.0,2.0,1.0,590.0,160.0,1950.0,Hobsons Bay,-37.8382,144.8649,Western Metropolitan
Altona North,4 Prismall St,3,h,988000.0,22/08/2016,3025.0,3.0,1.0,4.0,715.0,,2008.0,Hobsons Bay,-37.8423,144.8632,Western Metropolitan
Altona North,122 McIntosh Rd,3,h,590000.0,23/04/2016,3025.0,3.0,1.0,2.0,561.0,,,Hobsons Bay,-37.8444,144.8491,Western Metropolitan
Altona North,35 May St,2,h,610000.0,24/09/2016,3025.0,2.0,1.0,2.0,691.0,,,Hobsons Bay,-37.834,144.8553,Western Metropolitan
Altona North,6 Hill St,3,h,815000.0,25/02/2017,3025.0,3.0,2.0,3.0,555.0,130.0,1960.0,Hobsons Bay,-37.8318,144.8388,Western Metropolitan
Altona North,84 May St,4,h,970000.0,25/02/2017,3025.0,4.0,1.0,2.0,708.0,,,Hobsons Bay,-37.833,144.8494,Western Metropolitan
Altona North,155 Chambers Rd,4,h,760000.0,27/06/2016,3025.0,4.0,1.0,3.0,668.0,,,Hobsons Bay,-37.8262,144.8439,Western Metropolitan
Altona North,268d Mason St,4,t,847500.0,27/06/2016,3025.0,4.0,3.0,1.0,252.0,,,Hobsons Bay,-37.8393,144.8568,Western Metropolitan
Altona North,4/221 Blackshaws Rd,2,u,292000.0,28/08/2016,3025.0,2.0,1.0,1.0,153.0,70.0,1970.0,Hobsons Bay,-37.8332,144.8649,Western Metropolitan
Armadale,8/19 Mercer Rd,2,u,599000.0,3/09/2016,3143.0,2.0,1.0,1.0,0.0,76.0,1964.0,Stonnington,-37.8543,145.0262,Southern Metropolitan
Armadale,14/71 Denbigh Rd,3,u,995000.0,3/12/2016,3143.0,3.0,2.0,2.0,0.0,100.0,1998.0,Stonnington,-37.8552,145.016,Southern Metropolitan
Armadale,4/769 High St,3,t,1205000.0,3/12/2016,3143.0,3.0,2.0,2.0,101.0,105.0,2000.0,Stonnington,-37.854,145.0135,Southern Metropolitan
Armadale,7 Llaneast St,3,h,1939000.0,3/12/2016,3143.0,3.0,2.0,2.0,296.0,150.0,1889.0,Stonnington,-37.8614,145.0274,Southern Metropolitan
Armadale,9/55 Northcote Rd,1,u,421500.0,3/12/2016,3143.0,1.0,1.0,0.0,0.0,,,Stonnington,-37.853,145.0167,Southern Metropolitan
Armadale,28 Cambridge St,3,h,1870000.0,4/03/2017,3143.0,3.0,1.0,1.0,217.0,116.0,1888.0,Stonnington,-37.8592,145.0182,Southern Metropolitan
Armadale,3/16 Fulton St,2,u,678000.0,4/03/2017,3143.0,2.0,1.0,2.0,0.0,,,Stonnington,-37.8538,145.0127,Southern Metropolitan
Armadale,12 Willis St,3,h,2050000.0,4/03/2017,3143.0,3.0,2.0,1.0,205.0,116.0,1910.0,Stonnington,-37.8574,145.0281,Southern Metropolitan
Armadale,11/17 Myamyn St,2,u,3625000.0,4/06/2016,3143.0,3.0,2.0,2.0,0.0,,2006.0,Stonnington,-37.8555,145.0291,Southern Metropolitan
Armadale,6/26 Mercer Rd,2,u,825000.0,7/05/2016,3143.0,2.0,1.0,1.0,0.0,,,Stonnington,-37.8528,145.0268,Southern Metropolitan
Armadale,538a Orrong Rd,3,t,1586000.0,7/05/2016,3143.0,2.0,2.0,2.0,246.0,,,Stonnington,-37.8566,145.0116,Southern Metropolitan
Armadale,18/41 Kooyong Rd,2,u,645000.0,8/10/2016,3143.0,3.0,1.0,1.0,0.0,,1960.0,Stonnington,-37.8596,145.0198,Southern Metropolitan
Armadale,4/20 Mercer Rd,2,h,1780000.0,10/12/2016,3143.0,2.0,2.0,2.0,0.0,,,Stonnington,-37.8537,145.0267,Southern Metropolitan
